id,quizId,questionText,answerA,answerB,answerC,answerD,correctAnswer
2191,74,Money nature ability face.,and,check,scene,director,2
2221,75,Leader former recent enter discussion.,big,consumer,marriage,letter,3
2281,77,Positive civil simply federal.,miss,air,usually,arrive,2
2311,78,Hope hospital walk five free dog.,wind,practice,attention,west,2
2341,79,Big range table system condition campaign tonight night.,exist,name,perform,water,2
2371,80,Person with pretty tonight meet cold.,leave,set,maybe,look,4
2401,81,Two meet such energy direction.,above,significant,best,consumer,1
2431,82,North hospital close coach compare.,without,wife,increase,few,4
2461,83,Far difference unit away way fish.,should,itself,picture,these,3
2491,84,Administration company ready arm decade window daughter.,put,speech,listen,list,3
2521,85,Produce magazine eat receive.,close,leave,let,modern,4
2581,87,Much leave treatment environment whose.,someone,also,he,believe,4
2611,88,Majority agent may environment note focus.,your,here,those,explain,1
2671,90,Majority compare two recently southern process whatever.,fill,turn,team,they,1
2761,93,Month development run oil result goal environmental.,east,step,early,her,4
2851,96,Goal consumer air close establish point add.,collection,start,still,station,3
2881,97,Measure successful know Republican individual everyone road cultural.,check,pick,data,sell,4
3031,102,Structure collection team.,quite,feeling,property,career,2
3061,103,Sea body war.,trade,bar,several,tree,1
3091,104,Different fast staff air.,same,whether,station,sometimes,1
3121,105,Another this statement address attack.,office,put,focus,instead,3
3151,106,Perform worry would cultural knowledge product decision first.,close,purpose,their,visit,1
3181,107,True thousand our message think cost attorney.,keep,place,national,woman,1
3271,110,Subject drug return.,moment,order,clear,water,2
3301,111,Happy win fast left music oil.,whatever,economy,teacher,that,2
3331,112,Plant month happy news great.,before,common,hand,current,3
3361,113,Rather no themselves wear image protect.,himself,too,western,job,4
3391,114,Certain husband others four identify.,western,learn,listen,collection,1
3421,115,Would marriage natural drop like way might.,lot,child,school,community,1
3481,117,Teacher stuff provide piece quite reality value.,wear,throughout,allow,day,2
3571,120,Certain way environment take small hand.,subject,skill,amount,field,1
3601,121,I no manager deep.,many,high,how,term,1
3661,123,Anything best big cut can baby.,stuff,prevent,when,eat,4
3691,124,Child poor foreign fund go fight.,laugh,our,marriage,throw,3
3781,127,Six fast possible commercial wait thus drop.,hit,artist,without,throw,3
3901,131,Remain foreign vote contain.,deep,these,expert,avoid,3
3991,134,President test for good outside professor.,first,owner,either,nation,2
4021,135,Church language hope picture black party.,industry,nice,lot,product,1
4051,136,Yet us stage should hard.,pull,instead,wear,run,4
4081,137,Say figure music kind rule scientist make.,sound,future,memory,dinner,3
4171,140,Tend enough prevent.,lose,fly,ball,without,4
4231,142,Arrive see head bit senior too.,day,manager,we,food,4
4441,149,Price continue short drop.,exactly,within,enter,over,2
4501,151,Both campaign stock common keep debate street.,treat,understand,party,blue,3
4531,152,Energy collection professional respond.,bad,party,option,computer,3
4561,153,Decide after lawyer until sometimes family.,sense,skin,study,public,1
4591,154,Organization law list.,number,west,act,fly,4
4621,155,His heart any argue senior never mention Republican.,she,find,study,serve,3
4651,156,Career political heavy.,oil,analysis,according,life,1
4741,159,Alone various reveal theory what.,performance,identify,step,bit,4
4831,162,Pm rule effect many.,character,rise,until,focus,4
4951,166,Herself poor interesting able director.,trial,improve,mission,including,2
5011,168,Lead able same chance cultural air.,education,approach,magazine,charge,1
5041,169,Space at work wish sell.,thought,research,card,everything,1
5131,172,Capital wait during walk.,agent,herself,view,agent,1
5161,173,Class meet do thought person enjoy cultural.,both,deal,expect,approach,3
5401,181,Better member pretty study.,relate,together,mother,least,2
5461,183,Seem almost without particular responsibility.,standard,move,goal,customer,1
5491,184,Want positive just issue.,whose,wide,include,whatever,4
5521,185,As range travel skin father medical.,the,he,drug,speak,3
5611,188,Picture current treatment throw base.,base,four,participant,like,3
5671,190,People food agreement treatment may send indeed.,for,tax,idea,season,4
5701,191,Behind itself view.,town,later,west,bring,4
5791,194,Eat under generation phone environmental stuff not.,save,this,result,case,2
5851,196,Land minute right always involve.,peace,organization,smile,management,4
5941,199,Cause if indicate relate.,water,ready,evidence,difference,1
