id,quizId,questionText,answerA,answerB,answerC,answerD,correctAnswer
82,3,Medical soon face magazine raise election dream four.,collection,magazine,see,budget,1
83,3,Material eye phone item act window of population.,sport,man,future,reveal,4
84,3,Itself for wish red artist say.,base,full,knowledge,environment,4
85,3,Leg relationship true citizen morning at.,wait,total,radio,idea,3
86,3,Off both energy wrong.,east,everybody,war,risk,4
87,3,List record exactly or deal red.,late,away,six,none,1
88,3,While discuss director response oil stay.,special,book,body,wonder,2
89,3,Simply light imagine record.,road,and,nearly,office,3
90,3,Under ready compare trip together office personal.,hot,area,set,reason,3
91,4,Gas interest very positive main sing network explain.,thought,lead,federal,couple,3
92,4,Piece special you rich themselves.,now,support,but,skill,1
93,4,Face policy almost position article.,arm,represent,side,item,3
94,4,Create language today gun kid conference must.,foot,sign,soldier,present,4
95,4,Citizen data until.,any,wait,report,member,2
96,4,Such PM concern customer ten history at region.,story,set,heavy,give,3
97,4,Fact food send dark natural could rich hard.,party,fall,option,describe,2
98,4,Bad ten likely price product their.,else,situation,magazine,knowledge,1
99,4,Inside nature against teacher.,threat,image,these,rather,2
100,4,Personal account development claim region.,key,among,country,laugh,2
101,4,Vote her mouth hospital.,like,hard,class,return,3
102,4,Police include another assume budget front.,everyone,evening,growth,strategy,2
103,4,Sort check never stand.,check,sister,course,sometimes,3
104,4,Personal human son value civil.,time,society,effort,magazine,3
105,4,Agree situation foreign along move ability child.,car,side,plant,number,4
106,4,Record with thousand could.,say,former,theory,everybody,4
107,4,Enjoy clearly idea time reveal.,prepare,pattern,drive,outside,4
108,4,Family with together upon.,stand,break,age,decade,1
109,4,Western true if company rate main manager structure.,several,education,lay,down,4
110,4,Outside speech end allow hundred.,low,continue,thousand,into,3
111,4,Be address discover.,television,just,mother,behind,1
112,4,Every lead key structure moment.,statement,like,outside,represent,4
113,4,Central able memory present commercial.,fear,executive,here,space,3
114,4,Person pull response school no fact.,image,total,style,moment,2
115,4,Left successful Mr herself anything.,onto,far,science,among,1
116,4,Maybe late great.,throughout,country,nor,control,2
117,4,Police show economy.,blue,radio,trouble,sort,2
118,4,Concern imagine Republican argue sit.,success,truth,third,age,2
119,4,Factor dinner hour according.,pick,traditional,reveal,long,3
120,4,Debate company task stop.,wait,job,tax,top,4
121,5,Include this check who.,candidate,base,lot,bank,4
122,5,Relate think teach choose phone administration third modern.,successful,everyone,point,environment,3
123,5,Cup technology audience member effect.,ten,tough,yet,sing,4
124,5,National program but whole per rise.,body,old,most,thank,1
125,5,Quite piece staff meet artist left whose.,affect,scientist,executive,detail,2
126,5,Floor avoid water anyone cold develop.,research,soldier,certainly,push,3
127,5,Notice game admit evening shoulder whole.,notice,order,want,keep,1
128,5,Need remain clearly be voice.,among,body,range,share,1
129,5,Occur continue remain lead.,population,energy,gas,continue,2
130,5,Beat main follow responsibility anyone.,own,food,great,enter,4
131,5,It because know dark.,development,involve,argue,head,3
132,5,Do number issue check under half similar.,bar,life,pressure,suggest,2
133,5,Nearly surface parent stuff name key.,else,property,foot,task,1
134,5,Protect six hope glass.,natural,community,plant,commercial,1
135,5,Soon because family.,window,attack,final,think,2
136,5,Bad check whole.,cause,society,fire,interesting,2
137,5,Fund give way customer player alone news thus.,word,with,son,more,4
138,5,Enough threat because enter letter base.,system,throw,fight,pass,4
139,5,Edge edge officer.,public,lawyer,present,sign,4
140,5,Evening society student few present them.,worker,reflect,it,month,3
141,5,Base certain scientist thus develop.,view,sure,bar,true,3
142,5,Already member half organization prepare audience ask send.,stock,economy,maybe,religious,3
143,5,Page civil news family community out teach.,about,catch,on,view,3
144,5,Anyone thus place practice into environment police.,stock,letter,nor,specific,3
145,5,Indeed person face view require player light west.,community,relate,measure,perform,1
146,5,Until beat recognize stock investment finally.,half,until,play,choose,2
147,5,Difference of difference leave little threat.,discover,none,little,baby,4
148,5,West early car practice model.,wall,call,science,lay,4
149,5,Race trouble yet sister.,add,become,treat,main,1
150,5,Three father own body.,meeting,fight,us,TV,1
151,6,Crime in PM.,group,space,age,politics,3
152,6,Similar current investment take paper food many.,artist,beat,picture,early,3
153,6,Agreement theory information.,need,kind,likely,population,3
154,6,Herself soldier player purpose respond near cold.,page,might,small,huge,3
155,6,Protect choice need on industry.,wife,build,forget,language,4
156,6,Force technology four past executive particularly.,my,fast,teacher,by,4
157,6,State enough worry opportunity color.,fight,nice,option,make,2
158,6,Three report drive old floor put.,writer,language,trade,wall,3
159,6,Truth sing late town door possible.,probably,important,focus,method,1
160,6,Public prevent rock.,only,benefit,would,cost,1
161,6,Possible choose stop mention stand.,provide,range,where,bar,1
162,6,Benefit issue sister summer word wife once.,store,gun,consider,natural,4
163,6,Against piece of training cold stage before instead.,four,American,develop,behind,1
164,6,Ready law morning resource budget every different.,state,figure,performance,write,4
165,6,This your piece media occur.,trial,great,any,also,4
166,6,Protect fall responsibility by.,read,personal,blue,director,3
167,6,Tend laugh over those edge ask attorney.,instead,entire,campaign,dream,2
168,6,Bed turn sign north instead poor.,half,bed,common,process,4
169,6,Time likely because several animal walk.,different,reveal,respond,hear,3
170,6,Attack nothing within our.,artist,man,teach,argue,1
171,6,Message coach whatever.,quality,perform,share,seven,2
172,6,Official scene tax item able people.,support,inside,any,of,2
173,6,Man tend we specific dinner.,left,home,place,challenge,3
174,6,Left with cup top traditional company.,least,day,director,everything,3
175,6,Product purpose ask hand writer.,role,order,study,read,3
176,6,Wonder admit threat science.,method,discussion,place,machine,1
177,6,Deep key enjoy behind stock consider.,understand,as,we,sense,4
178,6,Will within become trouble benefit.,common,others,at,administration,4
179,6,Account black bring pressure body.,quickly,raise,outside,difficult,2
180,6,Return baby even guess.,live,however,law,form,2
181,7,Image way performance not mission attorney himself.,hour,Republican,agree,painting,2
182,7,Far court store bit much.,become,father,then,into,2
183,7,Morning air talk open.,like,send,bad,company,3
184,7,Of region usually light challenge practice also.,condition,should,his,likely,2
185,7,Center cover past capital protect foreign everything hit.,stay,miss,go,turn,4
186,7,Data task under themselves she not hold.,capital,so,hot,leader,1
187,7,Style Mrs unit process hit season room.,week,agreement,perhaps,pass,1
188,7,Simply end great.,performance,assume,may,movement,1
189,7,Serve never window modern style commercial.,back,method,authority,thank,4
190,7,Fight finish learn realize act activity.,tonight,oil,democratic,table,1
191,7,No easy write.,run,long,political,cut,4
192,7,Firm budget letter build writer.,control,game,investment,production,3
193,7,Foreign hold perhaps attention floor born.,science,determine,participant,common,3
194,7,Attack smile ability material.,for,yourself,weight,hundred,2
195,7,Partner close read bag require stop bar sure.,third,produce,various,focus,3
196,7,Interest author city under report.,score,appear,personal,child,1
197,7,Total prepare story support would prove.,particular,campaign,improve,result,4
198,7,Lead forward treatment need move none.,in,local,but,determine,4
199,7,Address machine return rich.,step,rule,onto,shake,3
200,7,Art something example read yeah parent take.,region,safe,air,significant,2
201,7,Water economy early hold body senior.,voice,while,study,professional,3
202,7,Reveal will movie wrong mother.,bill,gas,arm,eight,3
203,7,Including put create billion candidate yard office American.,yet,wind,customer,position,4
204,7,School real stuff ever billion official charge.,fine,good,well,range,1
205,7,Claim hotel your adult hear.,produce,nor,simply,summer,3
206,7,Then financial whose social.,whole,chair,upon,concern,1
207,7,Meet father defense former start effort with speech.,street,eye,nation,better,2
208,7,Share time rest natural sound common side one.,issue,program,space,role,4
209,7,Put authority enough place meeting water.,language,speech,right,pattern,4
210,7,Commercial experience animal along.,assume,cultural,for,best,3
211,8,Agree anyone head ago them career week.,if,foreign,actually,herself,1
212,8,Already beyond friend require experience.,contain,couple,according,manage,4
213,8,Fly information something structure.,my,stuff,stand,level,1
214,8,He model care station as.,general,outside,wear,full,4
215,8,Her set work plant.,purpose,even,own,able,3
216,8,Environmental speak son budget owner fact most.,choice,money,study,south,3
217,8,Power training five receive.,southern,upon,and,early,2
218,8,Carry feeling these TV.,order,into,by,store,3
219,8,Analysis election design employee civil yes.,check,deal,station,stuff,3
220,8,Open remember instead across gas.,spend,political,standard,majority,4
221,8,Perhaps have authority meeting choice.,visit,ask,represent,beautiful,3
222,8,Detail call author society career growth account born.,land,herself,chance,should,2
223,8,Make social might leg black today ground less.,rather,cut,total,wind,2
224,8,Office resource street thought same view officer.,reduce,like,environmental,Republican,4
225,8,Former child create Democrat issue half alone act.,Mr,forget,at,option,2
226,8,Science sit build or goal be.,street,although,have,happy,4
227,8,Two with we myself moment society.,certainly,impact,be,fish,4
228,8,Final poor hard car wear speak total.,sign,trade,film,draw,1
229,8,Do moment state imagine.,attack,power,professional,religious,2
230,8,Collection put direction option.,experience,human,million,quality,3
231,8,Hold street foot wait give positive suggest.,far,seek,let,require,2
232,8,Network land we seven none above sort.,model,sense,center,field,1
233,8,Form special plant.,resource,statement,blood,training,2
234,8,Sell since agree box.,level,hold,story,behind,4
235,8,Goal better offer trip send win guess.,paper,authority,nation,garden,4
236,8,Imagine international technology poor a hand.,character,go,perhaps,small,1
237,8,Political less government west drive learn.,health,manage,role,structure,2
238,8,Compare somebody bed he fly price thousand.,apply,alone,according,business,4
239,8,Behind month show almost.,few,white,either,couple,2
240,8,Tonight cultural strong fear however major.,question,near,claim,special,4
241,9,Family eight response last put if watch.,wind,town,suffer,recently,3
242,9,Growth occur address interest.,perform,lay,record,land,3
243,9,Fight argue clearly.,sign,ground,build,exist,3
244,9,Office think stock center.,president,federal,protect,mind,4
245,9,Tree or learn and.,reality,force,fly,wife,4
246,9,Any hundred car nation.,Republican,record,she,same,3
247,9,Yeah time anything generation another person since.,camera,event,realize,enjoy,1
248,9,Go eye have former record.,item,huge,human,whose,4
249,9,Life city parent century around account form.,modern,production,ever,let,3
250,9,Record party foreign work.,late,situation,property,feeling,1
251,9,Ready heart yourself.,central,may,total,ahead,1
252,9,Down campaign word production young whose rule.,hard,save,role,finish,4
253,9,Affect worker morning tonight member.,key,bill,strategy,example,1
254,9,Them buy instead sing top plan build mouth.,another,expect,indicate,box,3
255,9,Fine less buy wonder.,southern,term,yet,increase,2
256,9,Remember thousand free quite debate security chance.,play,star,dinner,you,4
257,9,Near respond someone heart speak.,long,ago,quite,election,3
258,9,Bad on rise style wife body.,government,option,mouth,hear,3
259,9,Partner from trade security mind.,high,next,rest,against,4
260,9,Southern trip throughout family red.,from,father,house,two,3
261,9,Responsibility senior strategy social.,machine,one,ago,finally,4
262,9,New employee successful consider.,give,picture,store,action,3
263,9,Check suffer attack garden save continue.,visit,summer,machine,back,3
264,9,Less represent small level matter big room.,affect,wish,although,he,4
265,9,Actually finish five part cover while continue speech.,put,leave,population,amount,4
266,9,Me clearly someone side.,indicate,believe,wide,meet,2
267,9,Science loss energy join firm.,part,others,material,stop,1
268,9,And American conference clearly.,home,window,detail,information,4
269,9,Understand food collection mother late serve all.,real,Mrs,least,maybe,1
270,9,Thought reveal hope.,than,personal,hour,this,3
271,10,Own particularly turn.,research,wait,television,blue,1
272,10,Onto live project then.,player,institution,they,big,3
273,10,Rule realize draw wrong success somebody.,method,standard,wrong,group,2
274,10,Whole from challenge positive.,result,technology,allow,research,3
275,10,Available style same big will manager quality.,effort,color,resource,reflect,3
276,10,Successful career responsibility.,including,pull,voice,around,3
277,10,Ahead meeting with.,able,trade,alone,own,4
278,10,Almost usually defense human able back.,attorney,scene,its,sell,3
279,10,Beautiful accept everybody up standard lead.,TV,view,actually,bit,1
280,10,Would full child near trip head.,green,into,them,throw,1
281,10,Real individual defense animal wife anything build.,professor,after,road,of,4
282,10,She design glass prevent break staff.,clear,with,knowledge,make,2
283,10,Thousand hard sometimes adult.,agree,goal,part,yet,3
284,10,Become who attack interesting again arrive.,enjoy,mean,talk,early,2
285,10,Evidence stand toward she follow later fact.,particularly,goal,present,despite,4
286,10,As let director arrive able.,language,down,manage,create,2
287,10,She democratic effort similar body staff.,he,cold,center,writer,3
288,10,Real week reach pressure best other.,game,off,particularly,church,1
289,10,Discover fly structure career stock then no.,popular,anything,quite,environment,3
290,10,Lead history fire process much administration eye.,energy,treat,once,image,4
291,10,Sing believe simple control agree beyond.,safe,off,test,manage,1
292,10,Short safe question who.,operation,already,for,skin,2
293,10,Morning alone speech public world card decide much.,lose,somebody,country,available,2
294,10,Skin like world meet home gun.,possible,civil,by,gun,3
295,10,Line dream house.,staff,front,want,safe,3
296,10,Charge time area many grow kind.,identify,quickly,rule,list,1
297,10,Buy development discussion.,red,want,whatever,same,3
298,10,Degree PM truth practice.,safe,less,over,away,2
299,10,Method show one a.,physical,oil,newspaper,structure,1
300,10,Concern leg check authority approach recently TV plant.,offer,form,attorney,listen,4
301,11,Main guess same subject spring.,above,water,way,exactly,1
302,11,Culture positive rise can.,clearly,a,compare,real,4
303,11,Each certainly skill suffer technology.,team,visit,girl,hold,4
304,11,Type buy spring organization per.,politics,nearly,military,cup,4
305,11,Plant point national indicate try.,trial,direction,deep,ball,4
306,11,Stock walk wonder.,century,fill,into,art,1
307,11,Ask bad institution.,wide,factor,minute,throughout,3
308,11,Carry education help wait wind.,world,nature,participant,paper,3
309,11,Boy fund program type.,west,not,peace,anyone,2
310,11,Particular organization beautiful between similar.,forget,dog,region,street,4
311,11,Stand plant them far.,expert,example,help,something,1
312,11,How add return great feel cost help they.,worry,plan,church,option,1
313,11,Strong feel bed develop then herself start.,fund,leader,water,itself,2
314,11,Reason visit professional.,boy,major,soldier,after,3
315,11,Bag him rich no style raise knowledge.,man,oil,activity,next,4
316,11,Education sense meet future finish tough some development.,keep,reality,late,or,1
317,11,Simply party eye and.,over,common,example,computer,1
318,11,Whether since economic accept fly sit.,age,six,important,hair,3
319,11,Green style medical believe.,kitchen,myself,long,happy,1
320,11,Condition read hold as question.,score,land,activity,soon,4
321,11,Young research believe tough.,data,response,kitchen,short,2
322,11,Run speech year fast economy.,near,four,bring,agreement,1
323,11,But team include woman start here.,pressure,house,until,government,3
324,11,Per five me current doctor.,education,draw,really,by,1
325,11,Me happen official respond offer leader.,site,often,go,oil,2
326,11,Market argue even.,control,blood,how,defense,4
327,11,Dog serious instead analysis small white.,owner,war,task,health,2
328,11,Feeling value source wind democratic.,whole,film,place,we,4
329,11,And act trip act word cup will.,serious,positive,conference,range,4
330,11,Program effect recognize well although quickly.,hold,wish,image,or,1
331,12,Interview seem make manager build pull safe research.,off,I,development,company,1
332,12,Themselves actually own financial parent artist.,find,standard,bit,sea,4
333,12,Sit religious marriage drop today care member.,season,sure,factor,school,4
334,12,Baby religious television support song.,outside,final,fast,this,2
335,12,Campaign soldier gun time wonder officer check.,director,environmental,factor,hand,3
336,12,Fast maintain leave maintain approach.,view,born,happen,watch,1
337,12,Man debate contain might skill president.,open,pattern,site,administration,4
338,12,Happen whom company career perhaps.,rise,particular,upon,since,2
339,12,Discussion arm whole through.,time,approach,us,right,1
340,12,Bar I thank start begin.,skill,court,she,nothing,3
341,12,Value war unit pressure manage increase avoid.,campaign,major,view,similar,1
342,12,Listen ten professor owner heart catch conference.,factor,check,energy,business,4
343,12,Chair I find exist rise lawyer also.,owner,west,left,American,3
344,12,Fine use above far plant party move simply.,statement,civil,people,action,1
345,12,Artist continue community themselves bit understand news.,military,other,through,ready,2
346,12,Although or buy.,executive,city,right,bag,1
347,12,Individual general author agreement information relationship technology.,civil,loss,watch,make,2
348,12,Model among hit American help low.,this,high,strong,author,2
349,12,Teacher each top send.,increase,south,term,over,4
350,12,Onto real effect conference majority under over.,role,management,once,after,3
351,12,Whether check natural consider.,determine,month,watch,talk,2
352,12,Serious not reach accept speech.,cost,catch,can,other,3
353,12,Still me center effort check piece trial.,write,bit,behind,else,2
354,12,Writer state son general attorney space rock.,expect,list,safe,new,3
355,12,Tv cover remember civil institution.,avoid,real,life,edge,2
356,12,Painting own memory nothing positive him describe play.,become,service,fly,possible,4
357,12,Effort popular result.,service,hold,some,second,1
358,12,Son art capital each describe little rather.,conference,TV,cause,within,4
359,12,Nation both sound tend war nation.,cold,nearly,lot,expert,2
360,12,Clear mouth wonder father.,free,dream,write,individual,4
361,13,Describe shoulder network end traditional son.,grow,school,political,garden,1
362,13,Term side somebody before place.,certain,same,student,blue,2
363,13,Day member case on.,bag,yourself,like,position,3
364,13,Throughout listen rate when baby.,technology,detail,story,soon,3
365,13,Eight for lot organization.,sign,production,fund,admit,3
366,13,Recent family walk field become religious arm.,beat,cell,whom,stop,3
367,13,International central end perform clearly court policy.,red,something,decide,low,2
368,13,Walk player data week.,seat,go,party,dark,2
369,13,Make PM quickly important star.,statement,writer,public,laugh,4
370,13,Argue medical full throughout.,effort,simple,music,upon,1
371,13,Room mother itself sport that audience market.,though,difficult,cold,serious,4
372,13,Rich despite alone company.,dark,course,green,first,1
373,13,Although response official phone.,baby,be,success,effort,4
374,13,Often lot enough whatever small.,ever,prevent,tree,record,3
375,13,In right benefit save.,current,statement,call,produce,1
376,13,Home plan natural choice city reality.,herself,mind,nearly,could,2
377,13,Might whose capital consumer pressure personal PM.,myself,author,carry,list,1
378,13,Partner trade fast around.,part,sure,control,surface,1
379,13,Standard quality draw analysis concern story prepare.,tough,support,brother,plan,1
380,13,Continue visit artist lay still condition serve.,seem,window,movie,commercial,2
381,13,Kind turn find wish inside interview.,their,case,expect,offer,1
382,13,Door herself system effect west everybody.,tell,how,style,be,2
383,13,Owner system add whom society.,choice,including,hear,age,1
384,13,Little question off trial media major.,fund,bar,interest,all,1
385,13,Sell occur fill.,good,factor,security,establish,1
386,13,Spring likely whose kitchen positive.,enter,western,think,after,3
387,13,Word use top product want pretty.,lot,suffer,walk,production,4
388,13,Recently learn tell though important pressure.,like,eye,month,coach,4
389,13,Doctor score same write during wonder management.,condition,future,along,sea,3
390,13,Talk choose natural energy.,region,need,beyond,art,4
391,14,His building want throughout.,agreement,artist,save,player,2
392,14,Pm responsibility throw benefit with different.,hotel,financial,radio,other,3
393,14,Lose begin effort partner.,political,star,fund,sure,2
394,14,Woman own nation yourself.,crime,skill,tax,what,2
395,14,Range some analysis according local answer size and.,pass,everything,by,dark,2
396,14,Particularly debate direction.,five,crime,even,worry,2
397,14,Produce recent he power list.,join,collection,team,story,3
398,14,Ago along alone.,than,next,expect,boy,1
399,14,News figure arrive us.,day,face,read,tax,4
400,14,Station probably these ok.,rather,floor,wish,account,3
401,14,Piece foot science camera range seat.,clear,participant,enter,take,1
402,14,Civil skin TV keep.,phone,occur,above,between,2
403,14,Find rate father thus treat economic even.,something,your,feel,class,4
404,14,Half could large air major.,meet,can,paper,itself,4
405,14,Decide there loss similar.,poor,tell,challenge,last,4
406,14,Help result everyone outside on card.,different,final,foot,training,3
407,14,Themselves claim find weight instead up particularly.,carry,image,team,could,2
408,14,Popular piece professor among run relationship bill.,yet,sport,nearly,fine,2
409,14,Interest yeah response end less.,interview,inside,hard,call,1
410,14,Officer right political control training.,hand,thus,contain,party,1
411,14,Never imagine great into.,concern,this,oil,character,2
412,14,Up ground leader.,garden,organization,side,until,3
413,14,Certain him behavior research attention ability already receive.,she,air,black,continue,1
414,14,Benefit course according country action.,require,real,note,lead,3
415,14,Reach teacher effort.,ahead,ground,interview,something,3
416,14,Upon money picture need employee because.,deal,customer,spend,behind,4
417,14,Later perhaps team movie nor better possible have.,value,spend,thought,behavior,2
418,14,Total should prevent take two memory art raise.,government,threat,loss,ask,3
419,14,Actually society choose firm score among direction.,chance,turn,skin,old,3
420,14,Kind design candidate.,sometimes,sense,per,reveal,3
421,15,Paper specific serve authority upon front magazine agency.,source,degree,customer,great,2
422,15,Still look medical wonder.,business,court,or,him,4
423,15,Represent power investment government four.,present,race,board,claim,4
424,15,Last hand because piece significant audience.,attorney,begin,visit,job,2
425,15,Assume stop across nature success half worker.,improve,when,agency,all,2
426,15,Letter page peace enjoy.,also,know,well,join,1
427,15,Final two change space.,issue,tree,common,stuff,2
428,15,Hand rate rather until close left investment.,against,until,develop,lawyer,2
429,15,Receive red somebody protect cover might especially.,a,many,business,century,1
430,15,Statement accept police local.,city,thousand,with,gas,1
431,15,Form training other.,the,all,bit,policy,2
432,15,Against PM great computer compare difference under.,heart,oil,bed,research,1
433,15,American employee crime present popular goal back.,degree,purpose,song,in,3
434,15,Question contain draw ahead.,finish,friend,ten,story,4
435,15,Total note police.,area,direction,measure,public,4
436,15,Score work enough church.,nothing,size,worry,right,1
437,15,School positive agreement couple.,green,compare,top,PM,4
438,15,Full ok say attention put once.,area,benefit,use,situation,2
439,15,Hotel family continue wide wonder rather yes.,challenge,nice,amount,knowledge,2
440,15,Better single decade fly attention college.,school,space,charge,election,1
441,15,Notice when arm.,effect,party,rise,discussion,4
442,15,Night state color look within market source.,thus,perhaps,protect,effort,1
443,15,Blue act member nothing.,body,lawyer,truth,situation,4
444,15,War than plant yourself respond.,high,his,general,form,1
445,15,Prevent loss long.,century,open,scene,middle,3
446,15,Reflect soldier maintain four direction eight.,magazine,something,hair,grow,2
447,15,Discuss course recently discussion tell sound.,late,morning,future,drive,2
448,15,Modern their she dream himself trade.,foot,issue,staff,resource,2
449,15,Medical fill maybe education foot body.,guy,any,service,three,3
450,15,Travel day seek expect.,government,all,left,serve,1
451,16,Argue paper deal begin soldier early.,large,soldier,would,group,4
452,16,Many evidence answer color figure.,education,office,it,risk,2
453,16,Since short week political general grow.,themselves,half,middle,red,1
454,16,Both might office event.,discover,wind,someone,get,1
455,16,Protect by radio best at want.,or,cost,mean,operation,3
456,16,Occur money clear baby structure tonight letter drop.,around,fish,health,father,2
457,16,Brother they over decision.,agency,when,here,environment,1
458,16,Explain start specific series left wrong.,if,suffer,recognize,role,1
459,16,Available far interest walk.,hold,fish,fly,worry,2
460,16,Age what serious.,kind,how,why,tell,3
461,16,Near arm thought last price wife outside full.,outside,everyone,food,through,3
462,16,Truth nor job authority inside school people.,father,smile,participant,move,4
463,16,Bar herself when test garden laugh.,develop,almost,though,place,1
464,16,Wife claim experience include.,program,probably,bank,you,2
465,16,Attention floor even improve exactly.,race,exactly,recognize,operation,3
466,16,Worker serve treat lead.,admit,happen,yeah,alone,1
467,16,Onto account form whole far air fall.,decade,crime,although,first,2
468,16,Resource social but daughter beat shoulder government record.,truth,key,young,current,1
469,16,Key newspaper medical peace true.,senior,religious,nature,indicate,1
470,16,Data church test huge enjoy gun.,know,direction,able,good,1
471,16,Within dog none represent.,fish,avoid,nice,stand,4
472,16,Fear whole something hotel war.,finish,finally,later,second,2
473,16,Bank her interesting service.,goal,stuff,prepare,plant,4
474,16,Statement forget most bag beat girl prepare.,and,perhaps,policy,ready,4
475,16,Point water quickly senior.,teacher,next,already,director,2
476,16,Present read big hand camera last herself.,machine,sell,difference,leg,1
477,16,Customer figure outside.,tell,Democrat,girl,impact,2
478,16,Difficult really involve natural suggest.,station,recognize,time,seat,3
479,16,Enough news later address rate well goal.,memory,bag,discussion,run,2
480,16,Rise reduce second figure production bit put.,clear,although,consider,style,2
481,17,Few action would trade look mission run.,serious,weight,stop,quite,4
482,17,Director hospital friend each suffer about need.,day,attack,evening,any,2
483,17,Serious system remember morning religious blood.,night,employee,law,strategy,2
484,17,Be goal indeed worker seat.,onto,reduce,response,image,2
485,17,Play pressure government couple determine.,our,standard,must,ago,4
486,17,Political brother score gas democratic word reality dog.,heart,each,word,upon,1
